id,model,make,barrels08,city08,cityCD,cityE,feScore,fuelCost08,fuelType,fuelType1,fuelType2
3805,F150 Pickup 4WD,Ford,25.35,12.0,0.0,0.0,Unknown,3100.0,Regular,Regular Gasoline,Unknown
38050,Continental GT Convertible,Bentley,21.97,12.0,0.0,0.0,2,3200.0,Premium,Premium Gasoline,Unknown
38051,S65 AMG Convertible,Mercedes-Benz,20.6,14.0,0.0,0.0,2,3000.0,Premium,Premium Gasoline,Unknown
38052,Continental GT,Bentley,21.97,12.0,0.0,0.0,2,3200.0,Premium,Premium Gasoline,Unknown
38053,QX30,Infiniti,12.21,24.0,0.0,0.0,6,1750.0,Premium,Premium Gasoline,Unknown
38054,QX30 AWD,Infiniti,13.18,21.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
38055,Versa,Nissan,9.69,31.0,0.0,0.0,8,1200.0,Regular,Regular Gasoline,Unknown
38056,Versa,Nissan,10.99,27.0,0.0,0.0,7,1350.0,Regular,Regular Gasoline,Unknown
38057,Versa,Nissan,11.37,26.0,0.0,0.0,7,1400.0,Regular,Regular Gasoline,Unknown
38058,CC,Volkswagen,13.18,22.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
38059,S60 Polestar AWD,Volvo,14.33,20.0,0.0,0.0,5,2100.0,Premium,Premium Gasoline,Unknown
3806,F150 Pickup 4WD,Ford,23.54,12.0,0.0,0.0,Unknown,2850.0,Regular,Regular Gasoline,Unknown
38060,Flying Spur,Bentley,21.97,12.0,0.0,0.0,2,3200.0,Premium,Premium Gasoline,Unknown
38061,Prius,Toyota,6.34,54.0,0.0,0.0,10,750.0,Regular,Regular Gasoline,Unknown
38062,Prius Eco,Toyota,5.89,58.0,0.0,0.0,10,700.0,Regular,Regular Gasoline,Unknown
38063,Maybach S600,Mercedes-Benz,20.6,13.0,0.0,0.0,2,3000.0,Premium,Premium Gasoline,Unknown
38064,S600,Mercedes-Benz,20.6,13.0,0.0,0.0,2,3000.0,Premium,Premium Gasoline,Unknown
38065,AMG S65,Mercedes-Benz,20.6,13.0,0.0,0.0,2,3000.0,Premium,Premium Gasoline,Unknown
38066,Soul,Kia,12.21,25.0,0.0,0.0,6,1500.0,Regular,Regular Gasoline,Unknown
38067,Soul,Kia,12.21,25.0,0.0,0.0,6,1500.0,Regular,Regular Gasoline,Unknown
38068,Soul,Kia,12.21,24.0,0.0,0.0,6,1500.0,Regular,Regular Gasoline,Unknown
38069,V60 Polestar AWD,Volvo,14.33,20.0,0.0,0.0,5,2100.0,Premium,Premium Gasoline,Unknown
3807,F150 Pickup 4WD,Ford,29.96,10.0,0.0,0.0,Unknown,3650.0,Regular,Regular Gasoline,Unknown
38070,RAV4,Toyota,13.18,23.0,0.0,0.0,5,1600.0,Regular,Regular Gasoline,Unknown
38071,RAV4 LE/XLE,Toyota,12.68,23.0,0.0,0.0,6,1550.0,Regular,Regular Gasoline,Unknown
38072,GLA250 4matic,Mercedes-Benz,12.68,23.0,0.0,0.0,6,1850.0,Premium,Premium Gasoline,Unknown
38073,RAV4 AWD,Toyota,13.18,22.0,0.0,0.0,5,1600.0,Regular,Regular Gasoline,Unknown
38074,RAV4 Limited AWD/SE AWD,Toyota,13.73,22.0,0.0,0.0,5,1700.0,Regular,Regular Gasoline,Unknown
38075,RAV4 Hybrid AWD,Toyota,10.3,34.0,0.0,0.0,7,1250.0,Regular,Regular Gasoline,Unknown
38076,Armada 2WD,Nissan,20.6,14.0,0.0,0.0,2,2500.0,Regular,Regular Gasoline,Unknown
38077,GX 460,Lexus,20.6,15.0,0.0,0.0,2,3000.0,Premium,Premium Gasoline,Unknown
38078,LX 570,Lexus,21.97,13.0,0.0,0.0,2,3200.0,Premium,Premium Gasoline,Unknown
38079,Armada 4WD,Nissan,21.97,13.0,0.0,0.0,2,2700.0,Regular,Regular Gasoline,Unknown
3808,F150 Pickup 4WD,Ford,29.96,10.0,0.0,0.0,Unknown,3650.0,Regular,Regular Gasoline,Unknown
38080,Land Cruiser Wagon 4WD,Toyota,21.97,13.0,0.0,0.0,2,2700.0,Regular,Regular Gasoline,Unknown
38081,330e,BMW,7.07,28.0,0.0,51.0,9,1600.0,Premium and Electricity,Premium Gasoline,Electricity
38082,Evora,Lotus,17.35,16.0,0.0,0.0,4,2500.0,Premium,Premium Gasoline,Unknown
38083,Evora,Lotus,16.48,17.0,0.0,0.0,4,2400.0,Premium,Premium Gasoline,Unknown
38084,Cascada,Buick,14.33,20.0,0.0,0.0,5,2100.0,Premium,Premium Gasoline,Unknown
38085,AMG C63 S Coupe,Mercedes-Benz,17.35,17.0,0.0,0.0,4,2500.0,Premium,Premium Gasoline,Unknown
38086,AMG C63 Coupe,Mercedes-Benz,17.35,17.0,0.0,0.0,4,2500.0,Premium,Premium Gasoline,Unknown
38087,Veloster,Hyundai,10.63,28.0,0.0,0.0,7,1300.0,Regular,Regular Gasoline,Unknown
38088,Veloster,Hyundai,10.99,27.0,0.0,0.0,7,1350.0,Regular,Regular Gasoline,Unknown
38089,XE,Jaguar,10.62,32.0,0.0,0.0,8,1150.0,Diesel,Diesel,Unknown
3809,F250 Pickup 4WD,Ford,23.54,13.0,0.0,0.0,Unknown,2850.0,Regular,Regular Gasoline,Unknown
38090,XE AWD,Jaguar,11.24,30.0,0.0,0.0,8,1200.0,Diesel,Diesel,Unknown
38091,Forte Koup,Kia,11.77,25.0,0.0,0.0,6,1450.0,Regular,Regular Gasoline,Unknown
38092,Forte Koup,Kia,12.21,25.0,0.0,0.0,6,1500.0,Regular,Regular Gasoline,Unknown
38093,Forte Koup,Kia,12.68,23.0,0.0,0.0,6,1550.0,Regular,Regular Gasoline,Unknown
38094,AMG C63,Mercedes-Benz,15.7,18.0,0.0,0.0,4,2300.0,Premium,Premium Gasoline,Unknown
38095,AMG C63 S,Mercedes-Benz,16.48,18.0,0.0,0.0,4,2400.0,Premium,Premium Gasoline,Unknown
38096,Malibu,Chevrolet,12.68,22.0,0.0,0.0,6,1850.0,Premium,Premium Gasoline,Unknown
38097,Malibu Hybrid,Chevrolet,7.17,49.0,0.0,0.0,10,850.0,Regular,Regular Gasoline,Unknown
38098,200,Chrysler,12.21,23.0,0.0,0.0,6,1500.0,Regular,Regular Gasoline,Unknown
38099,200,Chrysler,12.21,23.0,0.0,0.0,6,1500.0,Gasoline or E85,Regular Gasoline,E85
381,900,Saab,18.31,16.0,0.0,0.0,Unknown,2250.0,Regular,Regular Gasoline,Unknown
3810,F250 Pickup 4WD,Ford,23.54,12.0,0.0,0.0,Unknown,2850.0,Regular,Regular Gasoline,Unknown
38100,200,Chrysler,14.33,19.0,0.0,0.0,5,1750.0,Gasoline or E85,Regular Gasoline,E85
38101,200 AWD,Chrysler,14.98,18.0,0.0,0.0,5,1850.0,Gasoline or E85,Regular Gasoline,E85
38102,Q50,Infiniti,14.33,20.0,0.0,0.0,5,2100.0,Premium,Premium Gasoline,Unknown
38103,Q50S Red Sport,Infiniti,14.98,20.0,0.0,0.0,5,2200.0,Premium,Premium Gasoline,Unknown
38104,Q50 AWD,Infiniti,14.98,19.0,0.0,0.0,5,2200.0,Premium,Premium Gasoline,Unknown
38105,Q50S Red Sport  AWD,Infiniti,14.98,19.0,0.0,0.0,5,2200.0,Premium,Premium Gasoline,Unknown
38106,Q50,Infiniti,12.68,23.0,0.0,0.0,6,1850.0,Premium,Premium Gasoline,Unknown
38107,Q50 AWD,Infiniti,13.73,22.0,0.0,0.0,5,2000.0,Premium,Premium Gasoline,Unknown
38108,XF,Jaguar,10.92,31.0,0.0,0.0,8,1200.0,Diesel,Diesel,Unknown
38109,XF AWD,Jaguar,11.24,30.0,0.0,0.0,8,1200.0,Diesel,Diesel,Unknown
3811,F250 Pickup 4WD,Ford,25.35,12.0,0.0,0.0,Unknown,3100.0,Regular,Regular Gasoline,Unknown
38110,ES 350,Lexus,13.73,21.0,0.0,0.0,5,1700.0,Regular,Regular Gasoline,Unknown
38111,ES 300h,Lexus,8.24,40.0,0.0,0.0,9,1000.0,Regular,Regular Gasoline,Unknown
38112,Corolla iM,Toyota,10.63,28.0,0.0,0.0,7,1300.0,Regular,Regular Gasoline,Unknown
38113,Corolla iM,Toyota,10.99,27.0,0.0,0.0,7,1350.0,Regular,Regular Gasoline,Unknown
38114,Forte 5,Kia,11.77,25.0,0.0,0.0,6,1450.0,Regular,Regular Gasoline,Unknown
38115,Forte 5,Kia,12.21,25.0,0.0,0.0,6,1500.0,Regular,Regular Gasoline,Unknown
38116,Forte 5,Kia,13.18,23.0,0.0,0.0,5,1600.0,Regular,Regular Gasoline,Unknown
38117,S550,Mercedes-Benz,15.7,18.0,0.0,0.0,4,2300.0,Premium,Premium Gasoline,Unknown
38118,S550 4matic,Mercedes-Benz,16.48,16.0,0.0,0.0,4,2400.0,Premium,Premium Gasoline,Unknown
38119,GLA250,Mercedes-Benz,12.21,24.0,0.0,0.0,6,1750.0,Premium,Premium Gasoline,Unknown
3812,F250 Pickup 4WD,Ford,29.96,10.0,0.0,0.0,Unknown,3650.0,Regular,Regular Gasoline,Unknown
38120,Titan 2WD,Nissan,18.31,15.0,0.0,0.0,3,2250.0,Regular,Regular Gasoline,Unknown
38121,Tundra 2WD,Toyota,20.6,15.0,0.0,0.0,2,2500.0,Regular,Regular Gasoline,Unknown
38122,Tundra 2WD FFV,Toyota,21.97,13.0,0.0,0.0,2,2700.0,Gasoline or E85,Regular Gasoline,E85
38123,Tundra 2WD,Toyota,21.97,13.0,0.0,0.0,2,2700.0,Regular,Regular Gasoline,Unknown
38124,Titan 4WD,Nissan,18.31,15.0,0.0,0.0,3,2250.0,Regular,Regular Gasoline,Unknown
38125,Titan 4WD  PRO4X,Nissan,19.39,15.0,0.0,0.0,3,2350.0,Regular,Regular Gasoline,Unknown
38126,Tundra 4WD,Toyota,20.6,14.0,0.0,0.0,2,2500.0,Regular,Regular Gasoline,Unknown
38127,Tundra 4WD FFV,Toyota,21.97,13.0,0.0,0.0,2,2700.0,Gasoline or E85,Regular Gasoline,E85
38128,Tundra 4WD,Toyota,21.97,13.0,0.0,0.0,2,2700.0,Regular,Regular Gasoline,Unknown
38129,Encore,Buick,10.99,27.0,0.0,0.0,7,1350.0,Regular,Regular Gasoline,Unknown
3813,F250 Pickup 4WD,Ford,29.96,10.0,0.0,0.0,Unknown,3650.0,Regular,Regular Gasoline,Unknown
38130,RX 350,Lexus,14.33,20.0,0.0,0.0,5,1750.0,Regular,Regular Gasoline,Unknown
38131,Encore AWD,Buick,11.77,26.0,0.0,0.0,6,1450.0,Regular,Regular Gasoline,Unknown
38132,RX 350 AWD,Lexus,14.98,19.0,0.0,0.0,5,1850.0,Regular,Regular Gasoline,Unknown
38133,GLA250 4matic,Mercedes-Benz,12.68,23.0,0.0,0.0,6,1850.0,Premium or E85,Premium Gasoline,E85
38134,V12 Vantage S,Aston Martin,23.54,12.0,0.0,0.0,1,3400.0,Premium,Premium Gasoline,Unknown
38135,V12 Vantage S,Aston Martin,27.47,10.0,0.0,0.0,1,4000.0,Premium,Premium Gasoline,Unknown
38136,570S Coupe,McLaren Automotive,17.35,16.0,0.0,0.0,4,2500.0,Premium,Premium Gasoline,Unknown
38137,570GT,McLaren Automotive,17.35,16.0,0.0,0.0,4,2500.0,Premium,Premium Gasoline,Unknown
38138,Vanquish S Zagato,Aston Martin,20.6,13.0,0.0,0.0,2,3000.0,Premium,Premium Gasoline,Unknown
38139,Rapide S,Aston Martin,19.39,14.0,0.0,0.0,3,2800.0,Premium,Premium Gasoline,Unknown
3814,T15 (S15) Pickup 4WD,GMC,18.31,17.0,0.0,0.0,Unknown,2250.0,Regular,Regular Gasoline,Unknown
38140,C300 4matic Convertible,Mercedes-Benz,13.18,22.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
38141,C300 Convertible,Mercedes-Benz,12.68,23.0,0.0,0.0,6,1850.0,Premium,Premium Gasoline,Unknown
38142,CLA250 4matic,Mercedes-Benz,12.21,23.0,0.0,0.0,6,1750.0,Premium,Premium Gasoline,Unknown
38143,S550 4matic Coupe,Mercedes-Benz,16.48,17.0,0.0,0.0,4,2400.0,Premium,Premium Gasoline,Unknown
38144,AMG S63 4matic Coupe,Mercedes-Benz,18.31,15.0,0.0,0.0,3,2650.0,Premium,Premium Gasoline,Unknown
38145,Lancer,Mitsubishi,11.77,24.0,0.0,0.0,6,1450.0,Regular,Regular Gasoline,Unknown
